original_movieId,reindexed_movieId,title,genres
1,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
3,1,Grumpier Old Men (1995),Comedy|Romance
6,2,Heat (1995),Action|Crime|Thriller
47,3,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,4,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
70,5,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
101,6,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
110,7,Braveheart (1995),Action|Drama|War
151,8,Rob Roy (1995),Action|Drama|Romance|War
157,9,Canadian Bacon (1995),Comedy|War
163,10,Desperado (1995),Action|Romance|Western
216,11,Billy Madison (1995),Comedy
223,12,Clerks (1994),Comedy
231,13,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,14,Ed Wood (1994),Comedy|Drama
260,15,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
296,16,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
316,17,Stargate (1994),Action|Adventure|Sci-Fi
333,18,Tommy Boy (1995),Comedy
349,19,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
356,20,Forrest Gump (1994),Comedy|Drama|Romance|War
362,21,"Jungle Book, The (1994)",Adventure|Children|Romance
367,22,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
423,23,Blown Away (1994),Action|Thriller
441,24,Dazed and Confused (1993),Comedy
457,25,"Fugitive, The (1993)",Thriller
480,26,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
500,27,Mrs. Doubtfire (1993),Comedy|Drama
527,28,Schindler's List (1993),Drama|War
543,29,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
552,30,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
553,31,Tombstone (1993),Action|Drama|Western
590,32,Dances with Wolves (1990),Adventure|Drama|Western
592,33,Batman (1989),Action|Crime|Thriller
593,34,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
596,35,Pinocchio (1940),Animation|Children|Fantasy|Musical
608,36,Fargo (1996),Comedy|Crime|Drama|Thriller
648,37,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
661,38,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,39,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
733,40,"Rock, The (1996)",Action|Adventure|Thriller
736,41,Twister (1996),Action|Adventure|Romance|Thriller
780,42,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
804,43,She's the One (1996),Comedy|Romance
919,44,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
923,45,Citizen Kane (1941),Drama|Mystery
940,46,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
943,47,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
954,48,Mr. Smith Goes to Washington (1939),Drama
1009,49,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
1023,50,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
1024,51,"Three Caballeros, The (1945)",Animation|Children|Musical
1025,52,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1029,53,Dumbo (1941),Animation|Children|Drama|Musical
1030,54,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1031,55,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1032,56,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1042,57,That Thing You Do! (1996),Comedy|Drama
1049,58,"Ghost and the Darkness, The (1996)",Action|Adventure
1060,59,Swingers (1996),Comedy|Drama
